MES,LATITUD,LONGITUD,CANTIDAD
2010-02,8.611395262,-76.414783173,1
2010-02,5.708114524,-75.094697954,1
2010-02,6.163683758,-75.809955281,1
2010-02,6.443417935,-75.329240854,7
2010-02,6.358841086,-75.589735878,177
2010-02,5.727081285,-75.986891074,2
2010-02,6.185783612,-75.956492463,3
2010-02,6.054446841,-75.626426743,11
2010-02,7.036017478,-75.287661778,1
2010-02,7.757967437,-76.643746573,2
2010-02,7.867941792,-75.035018239,7
2010-02,7.631665644,-76.639642127,3
2010-02,6.550065431,-75.08254116,1
2010-02,5.840995666,-76.010652526,10
2010-02,6.057468678,-75.900146783,15
2010-02,6.351882893,-75.50075633,6
2010-02,7.665155105,-75.223697441,2
2010-02,6.992243782,-76.314263284,5
2010-02,6.492403905,-75.422276872,2
2010-02,7.704633351,-74.664277263,2
2010-02,5.978078841,-75.263536102,6
2010-02,6.124209495,-75.252122776,1
2010-02,6.154394922,-75.546867788,30
2010-02,5.887702934,-75.679262419,5
2010-02,6.691364773,-76.33199656,5
2010-02,6.379745895,-75.447957442,4
2010-02,6.123380721,-75.127636463,2
2010-02,6.266625703,-75.437308008,4
2010-02,6.236329826,-75.156512723,1
2010-02,6.214511788,-75.749710019,1
2010-02,5.797039002,-75.906692028,2
2010-02,6.179279438,-75.614203699,70
2010-02,7.341549718,-75.678422773,2
2010-02,5.992524843,-75.430869347,16
2010-02,6.137595883,-75.648954991,20
2010-02,5.746583958,-75.60220206,5
2010-02,6.723990935,-75.783000458,2
2010-02,6.534573585,-74.714108541,3
2010-02,6.18520515,-75.304879329,10
2010-02,6.257590259,-75.611031065,931
2010-02,7.329557848,-76.463065695,1
2010-02,7.983477394,-74.65844186,4
2010-02,8.493728551,-76.676995884,1
2010-02,7.044180058,-75.889688434,1
2010-02,6.481922267,-74.528742101,4
2010-02,5.954830151,-74.686191798,7
2010-02,6.997267375,-74.558656518,1
2010-02,6.150785807,-75.410760524,41
2010-02,6.901000506,-75.792227535,2
2010-02,6.138305183,-75.608805993,7
2010-02,5.970502334,-75.981372511,8
2010-02,6.438300409,-75.703107272,4
2010-02,6.024205956,-75.007667403,3
2010-02,6.31074453,-74.998586516,1
2010-02,6.466165211,-74.945073196,2
2010-02,6.310387522,-75.327401628,2
2010-02,5.878984956,-75.583303711,2
2010-02,6.535711576,-75.904266579,2
2010-02,6.675827825,-75.438143332,4
2010-02,6.481044132,-75.142600968,1
2010-02,7.26692339,-74.621639263,1
2010-02,5.826388779,-74.836376225,3
2010-02,7.488875998,-75.401894377,2
2010-02,6.058349971,-75.799660047,4
2010-02,8.173851745,-76.574037701,30
2010-02,6.33534134,-76.259064819,6
2010-02,7.265404213,-75.400945015,9
2010-02,6.836535122,-74.754030203,1
2010-02,5.956576355,-75.777224226,7
2010-02,6.716870679,-74.75565002,1
2010-02,6.9881309,-75.454399574,7
2010-02,6.64442786,-75.029902658,4
2010-02,7.474004006,-74.858483258,2
2010-02,6.796280825,-70.509211529,7
2010-02,10.793293019,-74.922194906,4
2010-02,10.98152051,-74.827715439,236
2010-02,10.897719907,-74.887087876,1
2010-02,10.823065032,-75.078419039,2
2010-02,10.848288642,-74.806175549,7
2010-02,10.694812078,-74.770150903,1
2010-02,10.740789594,-75.143660335,1
2010-02,11.004422597,-74.907405804,1
2010-02,10.507570513,-75.121880527,1
2010-02,10.798940151,-74.768796603,8
2010-02,10.622507773,-74.955105416,7
2010-02,10.35364192,-74.965411787,1
2010-02,10.755626561,-74.78726468,3
2010-02,10.906906595,-74.778424903,26
2010-02,8.757468863,-74.195158106,1
2010-02,10.164221225,-75.371217884,10
2010-02,10.463433617,-75.45889915,217
2010-02,10.556636955,-75.314466528,2
2010-02,9.540047515,-74.894456346,1
2010-02,9.699819876,-75.157935726,5
2010-02,9.053135895,-74.705393181,7
2010-02,9.976017168,-75.343802649,2
2010-02,8.01710024,-74.463429112,2
2010-02,9.081483143,-74.371866466,1
2010-02,9.835362011,-75.106092009,2
2010-02,9.967957823,-75.065719587,1
2010-02,8.816088444,-74.005999668,1
2010-02,10.649812776,-75.26548463,1
2010-02,9.142512064,-74.545199057,4
2010-02,10.469207257,-75.361160527,1
2010-02,8.492345176,-74.296761387,3
2010-02,10.353107564,-75.379715411,6
2010-02,10.444913198,-75.267362754,2
2010-02,5.622488024,-73.804245312,4
2010-02,5.667822366,-73.321370491,1
2010-02,5.890602515,-73.067094843,6
2010-02,5.089466651,-73.314302722,2
2010-02,5.150953297,-73.178967217,1
2010-02,5.539429272,-74.111771391,2
2010-02,5.953466654,-74.452858102,1
2010-02,6.057614971,-73.489748282,2
2010-02,5.646672053,-72.870956503,17
2010-02,5.518472615,-73.378018556,21
2010-02,5.616204006,-75.455447104,3
2010-02,5.20029922,-75.752890779,6
2010-02,5.265539969,-75.473926194,5
2010-02,4.99467728,-75.812259892,1
2010-02,4.974340569,-75.659546861,51
2010-02,5.285743777,-75.589787839,2
2010-02,5.410515691,-74.72114262,12
2010-02,5.08343301,-75.50727881,427
2010-02,5.23295391,-75.152634472,6
2010-02,5.183358589,-75.506929774,6
2010-02,5.050342543,-75.661762659,28
2010-02,5.500035035,-75.482450565,1
2010-02,5.097563816,-75.733351662,1
2010-02,5.370332425,-75.409621766,4
2010-02,5.519692873,-74.99718577,2
2010-02,5.45295802,-75.640357045,5
2010-02,4.940211591,-75.435440137,9
2010-02,5.047822054,-75.879297,3
2010-02,0.647693081,-74.272354991,3
2010-02,1.476630016,-75.202318246,2
2010-02,1.749138704,-75.558239064,45
2010-02,1.146692554,-75.386647638,5
2010-02,2.018940891,-75.073086267,1
2010-02,1.304702314,-76.110005942,1
2010-02,1.308465061,-74.197469706,2
2010-02,1.07534915,-75.737790038,1
2010-02,4.675769488,-72.212802727,1
2010-02,4.697463691,-72.629224357,1
2010-02,5.242744761,-72.25802857,12
2010-02,2.084732945,-77.208813302,2
2010-02,1.853951938,-76.963374538,1
2010-02,2.643209848,-76.701389144,1
2010-02,3.062875557,-76.321279771,3
