MES,CANTIDAD,LATITUD,LONGITUD
2012-09,1,10.154295459,-74.831780906
2013-01,1,10.154295459,-74.831780906
2015-02,1,10.154295459,-74.831780906
2015-09,1,10.154295459,-74.831780906
2010-03,2,10.155170977,-74.999959492
2010-05,2,10.155170977,-74.999959492
2010-07,1,10.155170977,-74.999959492
2010-08,3,10.155170977,-74.999959492
2010-10,4,10.155170977,-74.999959492
2011-01,2,10.155170977,-74.999959492
2011-05,2,10.155170977,-74.999959492
2011-06,2,10.155170977,-74.999959492
2011-07,5,10.155170977,-74.999959492
2011-08,2,10.155170977,-74.999959492
2011-09,1,10.155170977,-74.999959492
2011-10,4,10.155170977,-74.999959492
2012-01,1,10.155170977,-74.999959492
2012-02,2,10.155170977,-74.999959492
2012-04,2,10.155170977,-74.999959492
2012-06,2,10.155170977,-74.999959492
2012-07,3,10.155170977,-74.999959492
2012-08,2,10.155170977,-74.999959492
2012-09,7,10.155170977,-74.999959492
2012-10,1,10.155170977,-74.999959492
2012-11,1,10.155170977,-74.999959492
2013-01,2,10.155170977,-74.999959492
2013-02,3,10.155170977,-74.999959492
2013-03,3,10.155170977,-74.999959492
2013-04,5,10.155170977,-74.999959492
2013-05,9,10.155170977,-74.999959492
2013-06,8,10.155170977,-74.999959492
2013-07,7,10.155170977,-74.999959492
2013-08,3,10.155170977,-74.999959492
2013-10,4,10.155170977,-74.999959492
2013-11,2,10.155170977,-74.999959492
2013-12,1,10.155170977,-74.999959492
2014-01,3,10.155170977,-74.999959492
2014-02,4,10.155170977,-74.999959492
2014-03,15,10.155170977,-74.999959492
2014-04,1,10.155170977,-74.999959492
2014-05,2,10.155170977,-74.999959492
2014-07,1,10.155170977,-74.999959492
2014-11,1,10.155170977,-74.999959492
2014-12,1,10.155170977,-74.999959492
2015-01,4,10.155170977,-74.999959492
2015-02,7,10.155170977,-74.999959492
2015-03,3,10.155170977,-74.999959492
2015-04,3,10.155170977,-74.999959492
2015-05,2,10.155170977,-74.999959492
2015-06,3,10.155170977,-74.999959492
2015-07,4,10.155170977,-74.999959492
2015-11,1,10.155170977,-74.999959492
2015-12,1,10.155170977,-74.999959492
2010-01,9,10.164221225,-75.371217884
2010-02,10,10.164221225,-75.371217884
2010-03,6,10.164221225,-75.371217884
2010-04,13,10.164221225,-75.371217884
2010-05,5,10.164221225,-75.371217884
2010-06,5,10.164221225,-75.371217884
2010-07,10,10.164221225,-75.371217884
2010-08,18,10.164221225,-75.371217884
2010-09,20,10.164221225,-75.371217884
2010-10,16,10.164221225,-75.371217884
2010-11,3,10.164221225,-75.371217884
2010-12,3,10.164221225,-75.371217884
2011-01,7,10.164221225,-75.371217884
2011-02,13,10.164221225,-75.371217884
2011-03,22,10.164221225,-75.371217884
2011-04,11,10.164221225,-75.371217884
2011-05,11,10.164221225,-75.371217884
2011-06,8,10.164221225,-75.371217884
2011-07,10,10.164221225,-75.371217884
2011-08,16,10.164221225,-75.371217884
2011-09,20,10.164221225,-75.371217884
2011-10,10,10.164221225,-75.371217884
2011-11,3,10.164221225,-75.371217884
2011-12,6,10.164221225,-75.371217884
2012-01,12,10.164221225,-75.371217884
2012-02,19,10.164221225,-75.371217884
